"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"4021";"Hernandia papuana";276;NA
"4022";"Hernandia peltata";310;NA
"4023";"Hernandia sonora";280;NA
"4024";"Hernandia voyroni";354;NA
"4025";"Heteropanax fragrans";344;NA
"4026";"Heterophragma adenophyllum";760;NA
"4027";"Heterophragma roxburghii";520;NA
"4028";"Heterophragma sulfureum";579;NA
"4029";"Heteropyxis natalensis";646;NA
"4030";"Heterostemon mimosoides";600;NA
"4031";"Heterostemon vageleri";720;NA
"4032";"Heterotrichum cymosum";600;NA
"4033";"Hevea brasiliensis";466,625;NA
"4034";"Hevea guianensis";571;NA
"4035";"Hevea indet";530;NA
"4036";"Hevea lutea";430;NA
"4037";"Hevea microphylla";430;NA
"4038";"Hevea nitida";540;NA
"4039";"Hevea pauciflora";460;NA
"4040";"Hevea spruceana";400;NA
"4041";"Hexachlamys edulis";910;NA
"4042";"Hexalobus crispiflorus";483,666666666667;"bouamir_p16_356"
"4043";"Hexalobus monopetalus";663;NA
"4044";"Heywoodia lucens";745;NA
"4045";"Hibiscus borneensis";320;NA
"4046";"Hibiscus campylosiphon";480;NA
"4047";"Hibiscus decaspermus";540;NA
"4048";"Hibiscus elatus";600;NA
"4049";"Hibiscus floccosus";390;NA
"4050";"Hibiscus fluminis-aprili";350;NA
"4051";"Hibiscus lasiococcus";360;NA
"4052";"Hibiscus macrophyllus";375;NA
"4053";"Hibiscus papuodendron";353;NA
"4054";"Hibiscus populneus";800;NA
"4055";"Hibiscus tiliaceus";450;NA
"4056";"Hieronima alchorneoides";640,642857142857;NA
"4057";"Hieronima andina";600;NA
"4058";"Hieronima asperifolia";645;NA
"4059";"Hieronima chocoensis";625;NA
"4060";"Hieronima clusioides";800;NA
"4061";"Hieronima laxiflora";550;NA
"4062";"Hieronima oblonga";603;NA
"4063";"Himatanthus articulatus";536,25;NA
"4064";"Himatanthus attenuatus";480;NA
"4065";"Himatanthus bracteatus";530;NA
"4066";"Himatanthus obovatus";730;NA
"4067";"Himatanthus sucuuba";462;NA
"4068";"Hintonia latiflora";740;NA
"4069";"Hippomane mancinella";500;NA
"4070";"Hirtella bicornis";900;NA
"4071";"Hirtella bullata";490;NA
"4072";"Hirtella ciliata";820;NA
"4073";"Hirtella davisii";804;NA
"4074";"Hirtella glandulosa";925;NA
"4075";"Hirtella hebeclada";720;NA
"4076";"Hirtella pilosissima";880;NA
"4077";"Hirtella pimichina";824;NA
"4078";"Hirtella racemosa";781,666666666667;NA
"4079";"Hirtella rugosa";900;NA
"4080";"Hirtella triandra";682,75;NA
"4081";"Holarrhena antidysenterica";576;NA
"4082";"Holarrhena floribunda";469;NA
"4083";"Holarrhena pubescens";732;NA
"4084";"Holigarna arnottiana";327;NA
"4085";"Holmskioldia tettensis";620;NA
"4086";"Holocalyx balansae";859;NA
"4087";"Holodiscus discolor";710;NA
"4088";"Holoptelea grandis";594,333333333333;"bouamir_p3_358"
"4089";"Holoptelea integrifolia";515,5;NA
"4090";"Homalanthus populifolius";276;NA
"4091";"Homalanthus populneus";290;NA
"4092";"Homalium alnifolium";745;NA
"4093";"Homalium angustistipulatum";700;NA
"4094";"Homalium brevidens";796;NA
"4095";"Homalium caryophyllaceum";750;NA
"4096";"Homalium celebicum";80;NA
"4097";"Homalium ceylanicum";660;NA
"4098";"Homalium circumpinnatum";719,333333333333;NA
"4099";"Homalium foetidum";729;NA
"4100";"Homalium grandiflorum";770;NA
"4101";"Homalium hainanense";690;NA
"4102";"Homalium indet";744;NA
"4103";"Homalium letestui";714,25;"bouamir_p16_84"
"4104";"Homalium longifolium";760;NA
"4105";"Homalium phanerophlebium";640;NA
"4106";"Homalium racemosum";795;NA
"4107";"Homalium tomentosum";790;NA
"4108";"Homalium vitiense";745;NA
"4109";"Homonoia javensis";620;NA
"4110";"Hopea acuminata";540;NA
"4111";"Hopea altocollina";630;NA
"4112";"Hopea andersonii";760;NA
"4113";"Hopea apiculata";860;NA
"4114";"Hopea auriculata";740;NA
"4115";"Hopea basilanica";740;NA
"4116";"Hopea beccariana";653,333333333333;NA
"4117";"Hopea bracteata";555;NA
"4118";"Hopea cagayanensis";740;NA
"4119";"Hopea celebica";910;NA
"4120";"Hopea cernua";590;NA
"4121";"Hopea dasyrrhachis";530;NA
"4122";"Hopea dryobalanoides";610;NA
"4123";"Hopea dyeri";636,666666666667;NA
"4124";"Hopea ferrea";890;NA
"4125";"Hopea ferruginea";580;NA
"4126";"Hopea foxworthyi";510;NA
"4127";"Hopea glabra";870;NA
"4128";"Hopea glaucescens";710;NA
"4129";"Hopea gregaria";850;NA
"4130";"Hopea griffithii";665;NA
"4131";"Hopea hainanensis";890;NA
"4132";"Hopea heimiana";810;NA
"4133";"Hopea helferi";880;NA
"4134";"Hopea iriana";841;NA
"4135";"Hopea johorensis";550;NA
"4136";"Hopea latifolia";720;NA
"4137";"Hopea malibato";890;NA
"4138";"Hopea megacarpa";510;NA
"4139";"Hopea mengarawan";560;NA
"4140";"Hopea micrantha";630;NA
"4141";"Hopea minima";740;NA
"4142";"Hopea mollissima";790;NA
"4143";"Hopea montana";680;NA
"4144";"Hopea myrtifolia";680;NA
"4145";"Hopea nervosa";613,333333333333;NA
"4146";"Hopea nodosa";630;NA
"4147";"Hopea nutans";880;NA
"4148";"Hopea odorata";635;NA
"4149";"Hopea pachycarpa";550;NA
"4150";"Hopea papuana";636,5;NA
"4151";"Hopea parviflora";790;NA
"4152";"Hopea parvifolia";852;NA
"4153";"Hopea paucinervis";780;NA
"4154";"Hopea pedicellata";740;NA
"4155";"Hopea pentanervia";930;NA
"4156";"Hopea philippinensis";670;NA
"4157";"Hopea pierrei";811,5;NA
"4158";"Hopea plagata";710;NA
"4159";"Hopea polyalthioides";970;NA
"4160";"Hopea pubescens";500;NA
"4161";"Hopea recopei";749;NA
"4162";"Hopea resinosa";695;NA
"4163";"Hopea semicuneata";810;NA
"4164";"Hopea subalata";820;NA
"4165";"Hopea sublanceolata";550;NA
"4166";"Hopea sulcata";620;NA
"4167";"Hopea treubii";590;NA
"4168";"Hopea utilis";840;NA
"4169";"Hopea vesquei";570;NA
"4170";"Hopea wightiana";913;NA
"4171";"Horsfieldia amygdalina";460;NA
"4172";"Horsfieldia bracteosa";517;NA
"4173";"Horsfieldia canarioides";340;NA
"4174";"Horsfieldia crassifolia";480;NA
"4175";"Horsfieldia glabra";460;NA
"4176";"Horsfieldia globularia";400;NA
"4177";"Horsfieldia grandis";390;NA
"4178";"Horsfieldia irya";369;NA
"4179";"Horsfieldia iryaghedhi";360;NA
"4180";"Horsfieldia lemanniana";620;NA
"4181";"Horsfieldia subglobosa";470;NA
"4182";"Horsfieldia sucosa";550;NA
"4183";"Horsfieldia superba";560;NA
"4184";"Horsfieldia sylvestris";310;NA
"4185";"Horsfieldia wallichii";500;NA
"4186";"Hortia arborea";1020;NA
"4187";"Hortia longifolia";900;NA
"4188";"Hortia regia";784;NA
"4189";"Hovenia dulcis";543;NA
"4190";"Huberodendron patinoi";500;NA
"4191";"Huberodendron swietenioides";563,5;NA
"4192";"Huertea cubensis";310;NA
"4193";"Huertea glandulosa";428,5;NA
"4194";"Huertea granadina";410;NA
"4195";"Huertea putumayensis";410;NA
"4196";"Humbertia madagascariensis";1148;NA
"4197";"Humiria balsamifera";730,615384615385;NA
"4198";"Humiria procera";650;NA
"4199";"Humiriastrum colombianum";690;NA
"4200";"Humiriastrum cuspidatum";721;NA
"4201";"Humiriastrum excelsum";750;NA
"4202";"Humiriastrum melanocarpum";600;NA
"4203";"Humiriastrum obovatum";771,5;NA
"4204";"Humiriastrum procerum";608;NA
"4205";"Hunteria zeylanica";720;NA
"4206";"Huodendron biaristatum";594;NA
"4207";"Huodendron tibeticum";520;NA
"4208";"Hura crepitans";367,333333333333;NA
"4209";"Hura polyandra";380;NA
"4210";"Hybanthus prunifolius";670;NA
"4211";"Hydnocarpus alpina";689;NA
"4212";"Hydnocarpus castanea";700;NA
"4213";"Hydnocarpus curtisii";740;NA
"4214";"Hydnocarpus gracilis";560;NA
"4215";"Hydnocarpus hutchinsonii";600;NA
"4216";"Hydnocarpus ilicifolia";810;NA
"4217";"Hydnocarpus kuenstleri";675;NA
"4218";"Hydnocarpus kurzii";599;NA
"4219";"Hydnocarpus macrocarpa";550;NA
"4220";"Hydnocarpus polypetalus";550;NA
"4221";"Hydnocarpus setumpul";660;NA
"4222";"Hydnocarpus stigmatophorus";600;NA
"4223";"Hydnocarpus wightiana";465;NA
"4224";"Hydnocarpus woodii";640;NA
"4225";"Hydrochorea corymbosa";470;NA
"4226";"Hydrochorea gonggrijpii";580;NA
"4227";"Hydrogaster trinervis";630;NA
"4228";"Hylandia dockrillii";482;NA
"4229";"Hylodendron gabunense";787;"bouamir_p3_133"
"4230";"Hymenaea courbaril";792,35;NA
"4231";"Hymenaea intermedia";820;NA
"4232";"Hymenaea martiana";825;NA
"4233";"Hymenaea oblongifolia";736,666666666667;NA
"4234";"Hymenaea palustris";730;NA
"4235";"Hymenaea parvifolia";877,4;NA
"4236";"Hymenaea stigonocarpa";900;NA
"4237";"Hymenaea verrucosa";732;NA
"4238";"Hymenocardia acida";702;"upemba_p2_125"
"4239";"Hymenodictyon excelsum";469;NA
"4240";"Hymenodictyon orixense";430;NA
"4241";"Hymenolobium excelsum";598;NA
"4242";"Hymenolobium flavum";687,25;NA
"4243";"Hymenolobium modestum";670,5;NA
"4244";"Hymenolobium nitidum";550;NA
"4245";"Hymenolobium petraeum";712,5;NA
"4246";"Hymenolobium pulcherrimum";635;NA
"4247";"Hymenosporum flavum";607;NA
"4248";"Hymenostegia afzelii";824;NA
"4249";"Hymenostegia pellegrinii";837;NA
"4250";"Hypericum laxiusculum";985;NA
"4251";"Hypobathrum frutescens";560;NA
"4252";"Hypobathrum racemosum";496;NA
"4253";"Hyptidendron asperrimum";430;NA
"4254";"Idesia polycarpa";419;NA
"4255";"Idiospermum australiense";650;NA
"4256";"Ilex affinis";510;NA
"4257";"Ilex aquifolium";650;NA
"4258";"Ilex argentina";500;NA
"4259";"Ilex arnhemensis";443;NA
"4260";"Ilex brevicuspis";540;NA
"4261";"Ilex canariensis";740;NA
"4262";"Ilex casiquiarensis";560;NA
"4263";"Ilex cerasifolia";650;NA
"4264";"Ilex chapaensis";732;NA
"4265";"Ilex cissoidea";360;NA
"4266";"Ilex cochinchinensis";603;NA
"4267";"Ilex cymosa";487,5;NA
"4268";"Ilex jenmanii";560;NA
"4269";"Ilex martiniana";542;NA
"4270";"Ilex mitis";530;NA
"4271";"Ilex opaca";500;NA
"4272";"Ilex parviflora";490;NA
"4273";"Ilex perado";520;NA
"4274";"Ilex pleiobrachiata";460;NA
"4275";"Ilex purpurea";631,5;NA
"4276";"Ilex rimbachii";490;NA
"4277";"Ilex sideroxyloides";770;NA
"4278";"Ilex sterrophylla";648,5;NA
"4279";"Ilex valerioi";630;NA
"4280";"Ilex versteeghii";520;NA
"4281";"Illicium verum";579;NA
"4282";"Inga acrocephala";512,5;NA
"4283";"Inga alba";586,111111111111;NA
"4284";"Inga aria";606;NA
"4285";"Inga bourgonii";545;NA
"4286";"Inga brevipedicellata";580;NA
"4287";"Inga capitata";592,333333333333;NA
"4288";"Inga cayennensis";530;NA
"4289";"Inga chartacea";512,333333333333;NA
"4290";"Inga cinnamomea";640,333333333333;NA
"4291";"Inga coruscans";720;NA
"4292";"Inga cylindrica";480;NA
"4293";"Inga edulis";587,4;NA
"4294";"Inga fagifolia";620;NA
"4295";"Inga graciliflora";533,5;NA
"4296";"Inga heterophylla";560;NA
"4297";"Inga heteroptera";490;NA
"4298";"Inga huberi";530;NA
"4299";"Inga indet";610;NA
"4300";"Inga ingoides";495;NA
"4301";"Inga lateriflora";562,333333333333;NA
"4302";"Inga laurina";665;NA
"4303";"Inga leiocalycina";560;NA
"4304";"Inga marginata";551,8;NA
"4305";"Inga melinonis";540;NA
"4306";"Inga nobilis";560;NA
"4307";"Inga oerstediana";425;NA
"4308";"Inga olivacea";620;NA
"4309";"Inga paraensis";820;NA
"4310";"Inga pezizifera";606,5;NA
"4311";"Inga punctata";560;NA
"4312";"Inga rubiginosa";662,333333333333;NA
"4313";"Inga semialata";600;NA
"4314";"Inga sertulifera";650;NA
"4315";"Inga sessilis";430;NA
"4316";"Inga splendens";600;NA
"4317";"Inga stipularis";530;NA
"4318";"Inga tubaeformis";530;NA
"4319";"Inga umbellifera";724;NA
"4320";"Inga uruguensis";621;NA
"4321";"Inga vera";575;NA
"4322";"Inhambanella henriquesii";676;NA
"4323";"Inocarpus fagifer";505;NA
"4324";"Inocarpus fagiferus";357;NA
"4325";"Intsia bijuga";714,545454545455;NA
"4326";"Intsia palembanica";658,666666666667;NA
"4327";"Iodina rhombifolia";610;NA
"4328";"Ipomoea wolcottiana";435;NA
"4329";"Iresine arbuscula";480;NA
"4330";"Iriartea deltoidea";267;NA
"4331";"Irvingbaileya australis";426;NA
"4332";"Irvingia gabonensis";774,875;"bouamir_p16_105"
"4333";"Irvingia grandifolia";800,5;"bouamir_p16_9"
"4334";"Irvingia malayana";883,333333333333;NA
"4335";"Iryanthera grandis";630;NA
"4336";"Iryanthera hostmannii";575;NA
"4337";"Iryanthera indet";510;NA
"4338";"Iryanthera juruensis";633,333333333333;NA
"4339";"Iryanthera laevis";615;NA
"4340";"Iryanthera lanceifolia";500;NA
"4341";"Iryanthera lancifolia";504;NA
"4342";"Iryanthera paraensis";650;NA
"4343";"Iryanthera sagotiana";572;NA
"4344";"Iryanthera tricornis";673,333333333333;NA
"4345";"Iryanthera ulei";618,5;NA
"4346";"Isertia coccinea";520;NA
"4347";"Isertia hypoleuca";605;NA
"4348";"Isertia laevis";520;NA
"4349";"Isoberlinia doka";627;NA
"4350";"Isoberlinia scheffieri";650;NA
"4351";"Isoberlinia scheffleri";689;NA
"4352";"Isoberlinia schefflerii";750;NA
"4353";"Isoberlinia tomentosa";723;NA
"4354";"Isonandra lanceolata";930;NA
"4355";"Itoa stapfii";460;NA
"4356";"Ixonanthes chinensis";624,5;NA
"4357";"Ixonanthes grandiflora";580;NA
"4358";"Ixonanthes icosandra";696,5;NA
"4359";"Ixonanthes petiolaris";630;NA
"4360";"Ixonanthes reticulata";626,5;NA
"4361";"Ixora arborea";800;NA
"4362";"Ixora blumei";720;NA
"4363";"Ixora gardneriana";880;NA
"4364";"Ixora grandifolia";690;NA
"4365";"Ixora makassarica";740;NA
"4366";"Ixora parviflora";960;NA
"4367";"Ixora simalurensis";760;NA
"4368";"Jacaranda acutifolia";440;NA
"4369";"Jacaranda brasiliana";650;NA
"4370";"Jacaranda copaia";350,666666666667;NA
"4371";"Jacaranda filicifolia";500;NA
"4372";"Jacaranda hesperia";350;NA
"4373";"Jacaranda micrantha";482;NA
"4374";"Jacaranda mimosifolia";490;NA
"4375";"Jacaranda obtusifolia";482,75;NA
"4376";"Jacaranda puberula";580;NA
"4377";"Jacaranda rhombifolia";400;NA
"4378";"Jacaratia digitata";265;NA
"4379";"Jackiopsis ornata";760;NA
"4380";"Jacquinia caracasana";730;NA
"4381";"Jacquinia pungens";810;NA
"4382";"Jagera indet";758;NA
"4383";"Jagera pseudorhus";676;NA
"4384";"Jatropha chamelensis";400;NA
"4385";"Jatropha curcas";170;NA
"4386";"Jatropha malacophylla";260;NA
"4387";"Jatropha platyphylla";470;NA
"4388";"Joannesia heveoides";390;NA
"4389";"Joannesia princeps";510,666666666667;NA
"4390";"Juglans ailanthifolia";362;NA
"4391";"Juglans australis";520;NA
"4392";"Juglans cathayensis";460;NA
"4393";"Juglans cinerea";360;NA
"4394";"Juglans fallax";470;NA
"4395";"Juglans indet";515;NA
"4396";"Juglans mandshurica";442,666666666667;NA
"4397";"Juglans microcarpa";530;NA
"4398";"Juglans neotropica";490;NA
"4399";"Juglans nigra";510;NA
"4400";"Juglans regia";558,333333333333;NA
"4401";"Julbernardia bifoliolata";577;NA
"4402";"Julbernardia globiflora";734,5;NA
"4403";"Julbernardia indet";644,5;NA
"4404";"Julbernardia pellegriniana";674,888888888889;NA
"4405";"Julbernardia seretii";689;NA
"4406";"Juniperus cedrus";480;NA
"4407";"Juniperus chinensis";518,5;NA
"4408";"Juniperus communis";517;NA
"4409";"Juniperus deppeana";480;NA
"4410";"Juniperus indet";429,5;NA
"4411";"Juniperus phoenicea";550;NA
"4412";"Juniperus silicicola";420;NA
"4413";"Juniperus thurifera";530;NA
"4414";"Juniperus virginiana";440;NA
"4415";"Kalappia celebica";510;NA
"4416";"Kalmia latifolia";620;NA
"4417";"Kalopanax septemlobus";389;NA
"4418";"Kandelia candel";509,666666666667;NA
"4419";"Kandelia rheedei";570;NA
"4420";"Kaunia saltensis";494;NA
"4421";"Kayea assamica";650;NA
"4422";"Kayea elegans";770;NA
"4423";"Kayea floribunda";660;NA
"4424";"Kayea grandis";650;NA
"4425";"Kayea racemosa";630;NA
"4426";"Kayea wrayi";730;NA
"4427";"Keteleeria calcarea";510;NA
"4428";"Keteleeria davidiana";336;NA
"4429";"Keteleeria evelyniana";435,25;NA
"4430";"Keteleeria fortunei";475;NA
"4431";"Keteleeria pubescens";460;NA
"4432";"Khaya anthotheca";490,636363636364;NA
"4433";"Khaya grandifoliola";534,210526315789;"bouamir_p3_359"
"4434";"Khaya indet";490,25;NA
"4435";"Khaya ivorensis";441,933333333333;NA
"4436";"Khaya senegalensis";626,307692307692;NA
"4437";"Kibara coriacea";530;NA
"4438";"Kibatalia arborea";350;NA
"4439";"Kibatalia maingayi";500;NA
"4440";"Kielmeyera lathrophyton";670;NA
"4441";"Kielmeyera marauensis";490;NA
"4442";"Kielmeyera rubriflora";620;NA
"4443";"Kigelia africana";564;NA
"4444";"Kigelia pinnata";700;NA
"4445";"Kiggelaria africana";633;NA
"4446";"Kingiodendron alternifolium";490;NA
"4447";"Kirkia acuminata";508;NA
"4448";"Kjellbergiodendron celebicum";750;NA
"4449";"Klainedoxa gabonensis";925,583333333333;"bouamir_p16_42"
"4450";"Klainedoxa latifolia";910;NA
"4451";"Kleinhovia hospita";428,666666666667;NA
"4452";"Knema conferta";527;NA
"4453";"Knema corticosa";499;NA
"4454";"Knema furfuracea";550;NA
"4455";"Knema geminata";620;NA
"4456";"Knema glauca";440;NA
"4457";"Knema glomerata";520;NA
"4458";"Knema hookeriana";550;NA
"4459";"Knema krusemaniana";550;NA
"4460";"Knema latifolia";500;NA
"4461";"Knema laurina";470;NA
"4462";"Knema lunduensis";530;NA
"4463";"Knema malayana";630;NA
"4464";"Knema mandaharan";530;NA
"4465";"Knema missionis";560;NA
"4466";"Knema oblongata";570;NA
"4467";"Knema pubiflora";510;NA
"4468";"Knema stenophylla";500;NA
"4469";"Knightia excelsa";585;NA
"4470";"Koelreuteria bipinnata";570;NA
"4471";"Koelreuteria paniculata";620;NA
"4472";"Kokoona littoralis";790;NA
"4473";"Kokoona reflexa";790;NA
"4474";"Koompassia excelsa";685;NA
"4475";"Koompassia indet";801;NA
"4476";"Koompassia malaccensis";760;NA
"4477";"Koordersiodendron pinnatum";623;NA
"4478";"Kostermansia malayana";600;NA
"4479";"Krugiodendron ferreum";1150;NA
"4480";"Kunzea ericoides";772;NA
"4481";"Kunzea pulchella";889;NA
"4482";"Kydia calycina";258;NA
"4483";"Labramia louvelii";660;NA
"4484";"Lacistema aggregatum";505,5;NA
"4485";"Lacistema grandifolium";517;NA
"4486";"Lacmellea floribunda";490;NA
"4487";"Lacmellea lactescens";600;NA
"4488";"Lacmellea panamensis";471,5;NA
"4489";"Lacmellea utilis";491;NA
"4490";"Lacunaria coriacea";800;NA
"4491";"Lacunaria crenata";806,5;NA
"4492";"Ladenbergia indet";510;NA
"4493";"Ladenbergia pavonii";470;NA
"4494";"Laetia corymbulosa";590;NA
"4495";"Laetia procera";648,1;NA
"4496";"Laetia suaveolens";640;NA
"4497";"Laetia thamnia";660;NA
"4498";"Lafoensia glyptocarpa";960;NA
"4499";"Lafoensia pacari";800;NA
"4500";"Lafoensia punicifolia";705;NA
"4501";"Lagarostrobos franklinii";460;NA
"4502";"Lagerstroemia angustifolia";603;NA
"4503";"Lagerstroemia calyculata";720;NA
"4504";"Lagerstroemia duperreana";525;NA
"4505";"Lagerstroemia floribunda";610;NA
"4506";"Lagerstroemia flos-reginae";550;NA
"4507";"Lagerstroemia hypoleuca";553;NA
"4508";"Lagerstroemia indet";620;NA
"4509";"Lagerstroemia lanceolata";579;NA
"4510";"Lagerstroemia loudoni";585;NA
"4511";"Lagerstroemia macrocarpa";647;NA
"4512";"Lagerstroemia microcarpa";500;NA
"4513";"Lagerstroemia ovalifolia";615;NA
"4514";"Lagerstroemia parviflora";658;NA
"4515";"Lagerstroemia speciosa";595;NA
"4516";"Lagerstroemia subcostata";550;NA
"4517";"Lagerstroemia thorelii";525;NA
"4518";"Lagerstroemia tomentosa";543;NA
"4519";"Lagerstroemia villosa";689;NA
"4520";"Laguncularia racemosa";610;NA
"4521";"Lannea coromandelica";397,333333333333;NA
"4522";"Lannea discolor";456;NA
"4523";"Lannea schweinfurthii";551;NA
"4524";"Lannea welwitschii";405,333333333333;NA
"4525";"Lansium cinereum";850;NA
"4526";"Lansium domesticum";705;NA
"4527";"Laplacea amboinensis";610;NA
"4528";"Laplacea subintegerrima";530;NA
"4529";"Laportea peltata";160;NA
"4530";"Larix chinensis";460;NA
"4531";"Larix decidua";474;NA
"4532";"Larix eurolepis";400;NA
"4533";"Larix gmelini";559,666666666667;NA
"4534";"Larix kaempferi";414;NA
"4535";"Larix laricina";490;NA
"4536";"Larix leptolepis";450;NA
"4537";"Larix mastersiana";394;NA
"4538";"Larix occidentalis";480;NA
"4539";"Larix olgensis";511;NA
"4540";"Larix potaninii";421,333333333333;NA
"4541";"Larix sibirica";468;NA
"4542";"Larix speciosa";424,5;NA
"4543";"Lasiodiscus usambarensis";784;NA
"4544";"Laurelia novae-zelandiae";380;NA
"4545";"Laurelia philippiana";400;NA
"4546";"Laurelia serrata";400;NA
"4547";"Laurus canariensis";540;NA
"4548";"Laurus sassafras";482;NA
"4549";"Lecointea amazonica";893,333333333333;NA
"4550";"Lecomtedoxa klaineana";823,090909090909;NA
"4551";"Lecythis ampla";750;NA
"4552";"Lecythis chartacea";819;NA
"4553";"Lecythis confertiflora";792;NA
"4554";"Lecythis corrugata";777;NA
"4555";"Lecythis gracieana";826;NA
"4556";"Lecythis holcogyne";776;NA
"4557";"Lecythis idatimon";798,571428571429;NA
"4558";"Lecythis indet";770;NA
"4559";"Lecythis lanceolata";1010;NA
"4560";"Lecythis latifolium";900;NA
"4561";"Lecythis lurida";863,333333333333;NA
"4562";"Lecythis ollaria";720;NA
"4563";"Lecythis parvifructa";741;NA
"4564";"Lecythis persistens";860;NA
"4565";"Lecythis pisonis";857;NA
"4566";"Lecythis poiteaui";802;NA
"4567";"Lecythis prancei";875;NA
"4568";"Lecythis tuyrana";610;NA
"4569";"Lecythis usitata";900;NA
"4570";"Lecythis zabucajo";849,666666666667;NA
"4571";"Leea gigantea";680;NA
"4572";"Leea indica";460;NA
"4573";"Leonia crassa";650;NA
"4574";"Leonia cymosa";650;NA
"4575";"Leonia glycycarpa";600;NA
"4576";"Leopoldinia pulchra";480;NA
"4577";"Lepechinia calycina";610;NA
"4578";"Lepiderema indet";857;NA
"4579";"Lepidocordia punctata";772,5;NA
"4580";"Lepiniopsis ternatensis";420;NA
"4581";"Lepionurus sylvestris";260;NA
"4582";"Lepisanthes amoena";560;NA
"4583";"Lepisanthes rubiginosa";630;NA
"4584";"Lepisanthes senegalensis";630;NA
"4585";"Lepisanthes tetraphylla";810;NA
"4586";"Leptolaena multiflora";952;NA
"4587";"Leptospermum amboinense";820;NA
"4588";"Leptospermum flavescens";840;NA
"4589";"Leptospermum lanigerum";564;NA
"4590";"Leptospermum scoparium";1026;NA
"4591";"Letestua durissima";980,8;NA
"4592";"Leucaena diversifolia";600;NA
"4593";"Leucaena lanceolata";940;NA
"4594";"Leucaena leucocephala";683,333333333333;NA
"4595";"Leucaena pulverulenta";520;NA
"4596";"Leucaena trichodes";650;NA
"4597";"Levieria acuminata";375;NA
"4598";"Libocedrus bidwillii";350;NA
"4599";"Libocedrus decurrens";350;NA
"4600";"Libocedrus macrolepis";440;NA
"4601";"Libocedrus papuana";390;NA
"4602";"Librevillea klainei";938,2;NA
"4603";"Licania alba";887,4;NA
"4604";"Licania apetala";763,4;NA
"4605";"Licania arborea";620;NA
"4606";"Licania brittoniana";673,5;NA
"4607";"Licania campestre";590;NA
"4608";"Licania canescens";880;NA
"4609";"Licania chocoensis";880;NA
"4610";"Licania coriacea";880;NA
"4611";"Licania davillifolia";880;NA
"4612";"Licania densiflora";785;NA
"4613";"Licania discolor";887;NA
"4614";"Licania divaricata";880;NA
"4615";"Licania elata";695;NA
"4616";"Licania elliptica";880;NA
"4617";"Licania emarginata";880;NA
"4618";"Licania fanshawei";887;NA
"4619";"Licania fuchsii";880;NA
"4620";"Licania gracilipes";831,5;NA
"4621";"Licania granvillei";770;NA
"4622";"Licania heteromorpha";816,4;NA
"4623";"Licania humilis";510;NA
"4624";"Licania hypoleuca";908,8;NA
"4625";"Licania impressa";921;NA
"4626";"Licania incana";862;NA
"4627";"Licania indet";641,666666666667;NA
"4628";"Licania irwinii";880;NA
"4629";"Licania jimenezii";844;NA
"4630";"Licania kunthiana";880;NA
"4631";"Licania laxiflora";1033;NA
"4632";"Licania licaniiflora";670;NA
"4633";"Licania macrophylla";752,5;NA
"4634";"Licania majuscula";883,5;NA
"4635";"Licania membranacea";880;NA
"4636";"Licania micrantha";836;NA
"4637";"Licania minutiflora";770;NA
"4638";"Licania oblongifolia";803,6;NA
"4639";"Licania octandra";825;NA
"4640";"Licania ovalifolia";850;NA
"4641";"Licania pallida";880;NA
"4642";"Licania parviflora";820;NA
"4643";"Licania parvifolia";670;NA
"4644";"Licania parvifructa";887;NA
"4645";"Licania platypus";620;NA
"4646";"Licania polita";880;NA
"4647";"Licania robusta";888,666666666667;NA
"4648";"Licania rodriguesii";844;NA
"4649";"Licania sandwithii";882;NA
"4650";"Licania sothersiae";839;NA
"4651";"Licania sparsipilis";555;NA
"4652";"Licania splendens";815;NA
"4653";"Licania subarachnophylla";880;NA
"4654";"Licania tomentosa";980;NA
"4655";"Licania unguiculata";880;NA
"4656";"Licania urceolaris";880;NA
"4657";"Licania venosa";900;NA
"4658";"Licaria aritu";790;NA
"4659";"Licaria armeniaca";553;NA
"4660";"Licaria campechiana";840;NA
"4661";"Licaria cannella";938,5;NA
"4662";"Licaria cayennensis";930;NA
"4663";"Licaria chrysophylla";785;NA
"4664";"Licaria guianensis";747,5;NA
"4665";"Licaria indet";695;NA
"4666";"Licaria polyphylla";840;NA
"4667";"Licaria rigida";785;NA
"4668";"Licaria salicifolia";800;NA
"4669";"Licaria subbullata";840;NA
"4670";"Licaria triandra";685;NA
"4671";"Ligustrum lucidum";579,333333333333;NA
"4672";"Ligustrum vulgare";805;NA
"4673";"Limonia acidissima";840;NA
"4674";"Limonia elephantum";702;NA
"4675";"Lindackeria paludosa";560;NA
"4676";"Lindera assamica";510;NA
"4677";"Lindera kwangtungensis";577,8;NA
"4678";"Lindera polyantha";360;NA
"4679";"Lindera subumbelliflora";360;NA
"4680";"Lindsayomyrtus racemoides";607;NA
"4681";"Linospadix minor";817;NA
"4682";"Lippia mcvaughi";700;NA
"4683";"Liquidambar acalycina";623,5;NA
"4684";"Liquidambar formosana";488,833333333333;NA
"4685";"Liquidambar styraciflua";460;NA
"4686";"Liriodendron chinense";466,5;NA
"4687";"Liriodendron tulipifera";350;NA
"4688";"Litchi chinensis";854,142857142857;NA
"4689";"Litchi longan";871;NA
"4690";"Lithocarpus amygdalifolia";690;NA
"4691";"Lithocarpus amygdalifolius";758;NA
